scraped_at,spieltag,player,match_index,home,away,group,result,pick,points
2026-06-16T10:38:07+00:00,2,p07,1,Netherlands,Japan,Group F,2-2,3-1,0
2026-06-16T10:38:07+00:00,2,p02,1,Netherlands,Japan,Group F,2-2,2-1,0
2026-06-16T10:38:07+00:00,2,p08,1,Netherlands,Japan,Group F,2-2,2-1,0
2026-06-16T10:38:07+00:00,2,p05,1,Netherlands,Japan,Group F,2-2,2-1,0
2026-06-16T10:38:07+00:00,2,p01,1,Netherlands,Japan,Group F,2-2,1-0,0
2026-06-16T10:38:07+00:00,2,p03,1,Netherlands,Japan,Group F,2-2,2-1,0
2026-06-16T10:38:07+00:00,2,p11,1,Netherlands,Japan,Group F,2-2,2-1,0
2026-06-16T10:38:07+00:00,2,self,1,Netherlands,Japan,Group F,2-2,1-0,0
2026-06-16T10:38:07+00:00,2,p10,1,Netherlands,Japan,Group F,2-2,2-1,0
2026-06-16T10:38:07+00:00,2,p06,1,Netherlands,Japan,Group F,2-2,3-1,0
2026-06-16T10:38:07+00:00,2,p04,1,Netherlands,Japan,Group F,2-2,2-3,0
2026-06-16T10:38:07+00:00,2,p07,2,Ivory Coast,Ecuador,Group E,1-0,1-1,0
2026-06-16T10:38:07+00:00,2,p02,2,Ivory Coast,Ecuador,Group E,1-0,0-1,0
2026-06-16T10:38:07+00:00,2,p08,2,Ivory Coast,Ecuador,Group E,1-0,1-1,0
2026-06-16T10:38:07+00:00,2,p05,2,Ivory Coast,Ecuador,Group E,1-0,1-1,0
2026-06-16T10:38:07+00:00,2,p01,2,Ivory Coast,Ecuador,Group E,1-0,0-1,0
2026-06-16T10:38:07+00:00,2,p03,2,Ivory Coast,Ecuador,Group E,1-0,3-2,3
2026-06-16T10:38:07+00:00,2,p11,2,Ivory Coast,Ecuador,Group E,1-0,1-1,0
2026-06-16T10:38:07+00:00,2,self,2,Ivory Coast,Ecuador,Group E,1-0,0-1,0
2026-06-16T10:38:07+00:00,2,p10,2,Ivory Coast,Ecuador,Group E,1-0,1-1,0
2026-06-16T10:38:07+00:00,2,p06,2,Ivory Coast,Ecuador,Group E,1-0,2-3,0
2026-06-16T10:38:07+00:00,2,p04,2,Ivory Coast,Ecuador,Group E,1-0,1-2,0
2026-06-16T10:38:07+00:00,2,p07,3,Sweden,Tunisia,Group F,5-1,1-0,2
2026-06-16T10:38:07+00:00,2,p02,3,Sweden,Tunisia,Group F,5-1,1-1,0
2026-06-16T10:38:07+00:00,2,p08,3,Sweden,Tunisia,Group F,5-1,2-0,2
2026-06-16T10:38:07+00:00,2,p05,3,Sweden,Tunisia,Group F,5-1,2-1,2
2026-06-16T10:38:07+00:00,2,p01,3,Sweden,Tunisia,Group F,5-1,1-0,2
2026-06-16T10:38:07+00:00,2,p03,3,Sweden,Tunisia,Group F,5-1,1-0,2
2026-06-16T10:38:07+00:00,2,p11,3,Sweden,Tunisia,Group F,5-1,2-1,2
2026-06-16T10:38:07+00:00,2,self,3,Sweden,Tunisia,Group F,5-1,1-0,2
2026-06-16T10:38:07+00:00,2,p10,3,Sweden,Tunisia,Group F,5-1,2-1,2
2026-06-16T10:38:07+00:00,2,p06,3,Sweden,Tunisia,Group F,5-1,2-1,2
2026-06-16T10:38:07+00:00,2,p04,3,Sweden,Tunisia,Group F,5-1,1-2,0
2026-06-16T10:38:07+00:00,2,p07,4,Spain,Cape Verde,Group H,0-0,5-0,0
2026-06-16T10:38:07+00:00,2,p02,4,Spain,Cape Verde,Group H,0-0,2-0,0
2026-06-16T10:38:07+00:00,2,p08,4,Spain,Cape Verde,Group H,0-0,4-0,0
2026-06-16T10:38:07+00:00,2,p05,4,Spain,Cape Verde,Group H,0-0,4-1,0
2026-06-16T10:38:07+00:00,2,p01,4,Spain,Cape Verde,Group H,0-0,2-0,0
2026-06-16T10:38:07+00:00,2,p03,4,Spain,Cape Verde,Group H,0-0,3-1,0
2026-06-16T10:38:07+00:00,2,p11,4,Spain,Cape Verde,Group H,0-0,3-0,0
2026-06-16T10:38:07+00:00,2,self,4,Spain,Cape Verde,Group H,0-0,3-0,0
2026-06-16T10:38:07+00:00,2,p10,4,Spain,Cape Verde,Group H,0-0,2-2,2
2026-06-16T10:38:07+00:00,2,p06,4,Spain,Cape Verde,Group H,0-0,3-0,0
2026-06-16T10:38:07+00:00,2,p04,4,Spain,Cape Verde,Group H,0-0,4-1,0
2026-06-16T10:38:07+00:00,2,p07,5,Belgium,Egypt,Group G,1-1,2-2,2
2026-06-16T10:38:07+00:00,2,p02,5,Belgium,Egypt,Group G,1-1,2-1,0
2026-06-16T10:38:07+00:00,2,p08,5,Belgium,Egypt,Group G,1-1,2-0,0
2026-06-16T10:38:07+00:00,2,p05,5,Belgium,Egypt,Group G,1-1,2-1,0
2026-06-16T10:38:07+00:00,2,p01,5,Belgium,Egypt,Group G,1-1,1-0,0
2026-06-16T10:38:07+00:00,2,p03,5,Belgium,Egypt,Group G,1-1,2-1,0
2026-06-16T10:38:07+00:00,2,p11,5,Belgium,Egypt,Group G,1-1,2-1,0
2026-06-16T10:38:07+00:00,2,self,5,Belgium,Egypt,Group G,1-1,1-0,0
2026-06-16T10:38:07+00:00,2,p10,5,Belgium,Egypt,Group G,1-1,2-2,2
2026-06-16T10:38:07+00:00,2,p06,5,Belgium,Egypt,Group G,1-1,1-2,0
2026-06-16T10:38:07+00:00,2,p04,5,Belgium,Egypt,Group G,1-1,2-3,0
2026-06-16T10:38:07+00:00,2,p07,6,Saudi Arabia,Uruguay,Group H,1-1,1-2,0
2026-06-16T10:38:07+00:00,2,p02,6,Saudi Arabia,Uruguay,Group H,1-1,0-1,0
2026-06-16T10:38:07+00:00,2,p08,6,Saudi Arabia,Uruguay,Group H,1-1,0-2,0
2026-06-16T10:38:07+00:00,2,p05,6,Saudi Arabia,Uruguay,Group H,1-1,1-2,0
2026-06-16T10:38:07+00:00,2,p01,6,Saudi Arabia,Uruguay,Group H,1-1,0-2,0
